ニン	人
ツヅケル	続ける
イゼン	以前
クライ	位
カウ	買う
ハンダン	判断
レイ	例
センモン	専門
カゾク	家族
ムケル	向ける
ワルイ	悪い
ハジメテ	初めて
ベンキョウ	勉強
キタイ	期待
マッタク	全く
オシエル	教える
カンコク	韓国
ソト	外
コウカ	効果
ケントウ	検討
カク	各
フツウ	普通
ソシキ	組織
セイサク	政策
マチ	町
コウドウ	行動
ネンカン	年間
リツ	率
トウジ	当時
ガクセイ	学生
ウミ	海
ハンバイ	販売
コウニュウ	購入
カガク	科学
オヨビ	及び
カントク	監督
イシキ	意識
タカ	高
キュウ	九
セイサン	生産
ヒョウゲン	表現
センソウ	戦争
サンコウ	参考
ソノホカ	その他
ケッテイ	決定
キョク	曲
ドウ	同
ホウリツ	法律
キカン	機関
モウシアゲル	申し上げる
オオキク	大きく
イキ	行き
タイショウ	対象
ゲンジツ	現実
ヨム	読む
タイサク	対策
サギョウ	作業
カチ	価値
ジュウブン	十分
イチブ	一部
ゴ	語
スガタ	姿
シンブン	新聞
イッポウ	一方
カゼ	風
ハチ	八
キワ	際
ロン	論
スベテ	全て
ダイジン	大臣
カミ	神
コッカ	国家
ケン	件
マイニチ	毎日
オレ	俺
シアイ	試合
シチ	七
カイギ	会議
シテキ	指摘
カク	書く
セイヒン	製品
ヘンカ	変化
ケッキョク	結局
ショウヒ	消費
ホケン	保険
カン	観
グタイ	具体
ジンセイ	人生
リョウ	量
ベイコク	米国
ヒョウジ	表示
セイシン	精神
マチ	街
カコ	過去
ワレワレ	我々
チカク	近く
ノウリョク	能力
シドウ	指導
コウシン	更新
シイ	強い
コウカイ	公開
ニホンゴ	日本語
ミナサン	皆さん
ヤ	屋
オンナ	女
ムカシ	昔
タントウ	担当
ヒ	費
アシタ	明日
リョコウ	旅行
ユメ	夢
アキラカ	明らか
キ	木
キ	機
タイセツ	大切
キョク	局
モトメル	求める
ギョウセイ	行政
アンゼン	安全
ガイコク	外国
オキン	お金
シリョウ	資料
ヘヤ	部屋
コウイ	行為
ヘイセイ	平成
ショク	色
ムズカシイ	難しい
トウロク	登録
セッテイ	設定
セイコウ	成功
ドリョク	努力
セン	戦
ウマレル	生まれる
アタエル	与える
ダンタイ	団体
シエン	支援
モットモ	最も
ジコ	自己
ゼン	全
ネンド	年度
ウンドウ	運動
コウゾウ	構造
トクベツ	特別
カイケツ	解決
カンゼン	完全
ホシイ	欲しい
カギリ	限り
ヒン	品
ワケ	訳
イキル	生きる
ツカワ	使わ
ダンセイ	男性
ケッコウ	結構
デル	出る
サンギョウ	産業
グン	軍
シュ	主
ナガレル	流れる
デキル	出来る
ニカンシテ	に関して
ニンキ	人気
オハナシ	お話
スギル	過ぎる
エキ	駅
サイシュウ	最終
コタエル	答える
ホゴ	保護
サイ	再
ナマ	生
カイサイ	開催
ホウコウ	方向
カイカク	改革
ケンサク	検索
ワスレル	忘れる
ケンコウ	健康
ショウガイ	障害
ヶガツ	ヶ月
ミトメル	認める
キョウリョク	協力
ジキ	時期
リョウリ	料理
カンガエカタ	考え方
タノシミ	楽しみ
イリョウ	医療
キンユウ	金融
シケン	試験
タチバ	立場
ケイヤク	契約
ヨク	良く
ジョウケン	条件
ホウソウ	放送
ゼンコク	全国
シツ	室
マイ	枚
サクセイ	作成
アシ	足
セイチョウ	成長
シセツ	施設
クル	来る
トウジョウ	登場
チシキ	知識
ケイタイ	携帯
ジツゲン	実現
ユウジン	友人
ハヤク	早く
カイガイ	海外
ゲンイン	原因
ジッシ	実施
サクネン	昨年
ビョウイン	病院
ダイ	代
ニンシキ	認識
ナツ	夏
ダンカイ	段階
ハッセイ	発生
ハンタイ	反対
キカン	期間
ク	区
ジョウ	条
ゴゴ	午後
ゼイ	税
シュチョウ	主張
ヘンコウ	変更
カカ	書か
バングミ	番組
コンド	今度
イリ	入り
ツヅキ	続き
ジュンビ	準備
ノベル	述べる
ショリ	処理
クチ	口
シキ	式
ウゴキ	動き
ゼッタイ	絶対
カキ	書き
ケッコン	結婚
シャチョウ	社長
タイケン	体験
キメル	決める
キジュン	基準
ハツゲン	発言
トシ	都市
オヤ	親
キカイ	機会
テンカイ	展開
ジュギョウ	授業
ヒ	火
ジタイ	自体
キョウミ	興味
ケイサイ	掲載
ヘンシュウ	編集
センタク	選択
フクメル	含める
ハナシ	話し
シュウカン	週間
フタン	負担
モジ	文字
サイダイ	最大
ムリョウ	無料
ソウダン	相談
チュウイ	注意
オワル	終わる
カブ	株
ゼンブ	全部
カイシ	開始
ミ	身
オモシロイ	面白い
ブンセキ	分析
ドウジニ	同時に
ショウサイ	詳細
サキホド	先ほど
ハ	派
ヨミ	読み
ショウライ	将来
ヨサン	予算
アイ	愛
モクヒョウ	目標
ダイ	台
ツウシン	通信
ナガイ	長い
ブンヤ	分野
ハナ	花
コクナイ	国内
カエス	帰す
ツクル	作る
ツチ	土
ジコク	時刻
ギャク	逆
ハッケン	発見
サイコウ	最高
タメ	為
キキ	聞き
リエキ	利益
ショウ	小
ギンコウ	銀行
シュウリョウ	終了
ジム	事務
シュッパン	出版
レンラク	連絡
タイカイ	大会
レンシュウ	練習
サマザマ	様々
ムスメ	娘
シュウ	州
スクナイ	少ない
ドウヨウ	同様
チイサナ	小さな
オオサカ	大阪
キョウツウ	共通
フエル	増える
ゲンダイ	現代
ヒガイ	被害
ジュウタク	住宅
センキョ	選挙
アラタ	新た
カワル	変わる
ダイジ	大事
ヤマ	山
ヒハン	批判
ホウドウ	報道
シンパイ	心配
ホンジツ	本日
ザンネン	残念
ギョウカイ	業界
ソウトウ	相当
ギイン	議員
ギョウム	業務
ショウ	章
コウゲキ	攻撃
チカイ	近い
セイキ	世紀
エンソウ	演奏
カテイ	家庭
チョクセツ	直接
コウセイ	構成
ブンショウ	文章
アン	案
オキル	起きる
キボウ	希望
ツヨク	強く
キオク	記憶
カタガタ	方々
ヨバ	呼ば
トリヒキ	取引
ツクリ	作り
ツケル	付ける
オモエル	思える
シミン	市民
チョウ	超
アゲル	上げる
シキン	資金
トモダチ	友達
キケン	危険
ウンエイ	運営
ドウニュウ	導入
ヨソウ	予想
